supplier_id,company_name,business_type,category,product_text,moq,unit_price,currency,incoterms,lead_time_days,certifications,customization,years_in_business,export_markets,reliability_score,source
SUP-VF-001,Northstar Drinkware 001,manufacturer+trading,vacuum flask,750ml 304 stainless steel vacuum flask insulated bottle double-wall drinkware OEM ODM 保温杯 不锈钢 750ml laser engraving powder coating custom packaging 304 steel capacity 500ml 750ml 1L,1200,3.55,USD,EXW|FOB|CIF,24,LFGB|FDA,laser logo|custom box,3,US|EU|JP,0.72,mvp_seed
SUP-VF-002,Northstar Drinkware 002,manufacturer,vacuum flask,750ml 304 stainless steel vacuum flask insulated bottle double-wall drinkware OEM ODM 保温杯 不锈钢 750ml laser engraving powder coating custom packaging 304 steel capacity 500ml 750ml 1L,8000,3.58,USD,FOB|CIF,24,LFGB|FDA,laser logo|custom box,6,US|EU,0.738,mvp_seed
SUP-VF-003,Northstar Drinkware 003,manufacturer,vacuum flask,750ml 304 stainless steel vacuum flask insulated bottle double-wall drinkware OEM ODM 保温杯 不锈钢 750ml laser engraving powder coating custom packaging 304 steel capacity 500ml 750ml 1L,1200,5.5,USD,EXW|FOB|CIF,24,LFGB|FDA,laser logo|custom box,9,US|EU,0.756,mvp_seed
SUP-VF-004,Northstar Drinkware 004,manufacturer,vacuum flask,750ml 304 stainless steel vacuum flask insulated bottle double-wall drinkware OEM ODM 保温杯 不锈钢 750ml laser engraving powder coating custom packaging 304 steel capacity 500ml 750ml 1L,1200,3.55,USD,FOB|CIF,24,FDA,laser logo|custom box,12,US|EU|JP,0.774,mvp_seed
SUP-VF-005,Northstar Drinkware 005,manufacturer+trading,vacuum flask,750ml 304 stainless steel vacuum flask insulated bottle double-wall drinkware OEM ODM 保温杯 不锈钢 750ml laser engraving powder coating custom packaging 304 steel capacity 500ml 750ml 1L,1200,3.58,USD,EXW|FOB|CIF,45,LFGB|FDA,laser logo|custom box,15,US|EU,0.792,mvp_seed
SUP-VF-006,Northstar Drinkware 006,manufacturer,vacuum flask,750ml 304 stainless steel vacuum flask insulated bottle double-wall drinkware OEM ODM 保温杯 不锈钢 750ml laser engraving powder coating custom packaging 304 steel capacity 500ml 750ml 1L,1200,3.61,USD,FOB|CIF,24,LFGB|FDA,custom box,18,US|EU,0.81,mvp_seed
SUP-VF-007,Northstar Drinkware 007,manufacturer,vacuum flask,750ml 304 stainless steel vacuum flask insulated bottle double-wall drinkware OEM ODM 保温杯 不锈钢 750ml laser engraving powder coating custom packaging 304 steel capacity 500ml 750ml 1L,9000,5.86,USD,EXW|FOB|CIF,50,,,3,US|EU|JP,0.828,mvp_seed
SUP-VF-008,Northstar Drinkware 008,manufacturer,vacuum flask,750ml 304 stainless steel vacuum flask insulated bottle double-wall drinkware OEM ODM 保温杯 不锈钢 750ml laser engraving powder coating custom packaging 304 steel capacity 500ml 750ml 1L,1200,,USD,FOB|CIF,24,LFGB|FDA,laser logo|custom box,6,US|EU,0.846,mvp_seed
SUP-VF-009,Northstar Drinkware 009,manufacturer+trading,vacuum flask,750ml 304 stainless steel vacuum flask insulated bottle double-wall drinkware OEM ODM 保温杯 不锈钢 750ml laser engraving powder coating custom packaging 304 steel capacity 500ml 750ml 1L,1200,3.61,USD,EXW|FOB|CIF,,LFGB|FDA,laser logo|custom box,9,US|EU,0.864,mvp_seed
SUP-VF-010,Northstar Drinkware 010,manufacturer,vacuum flask,750ml 304 stainless steel vacuum flask insulated bottle double-wall drinkware OEM ODM 保温杯 不锈钢 750ml laser engraving powder coating custom packaging 304 steel capacity 500ml 750ml 1L,1200,3.55,USD,FOB|CIF,24,,,12,US|EU|JP,0.882,mvp_seed
SUP-BP-001,Harbor Textile 001,manufacturer+trading,nylon backpack,nylon backpack travel daypack luggage strap water resistant 20L 30L OEM ODM custom logo 尼龙背包 行李箱拉杆带 embroidery screen print laptop compartment trolley sleeve luggage strap recycled nylon,600,6.4,USD,EXW|FOB|CIF,27,REACH|BSCI,custom logo|luggage strap,3,US|EU|JP,0.72,mvp_seed
SUP-BP-002,Harbor Textile 002,manufacturer,nylon backpack,nylon backpack travel daypack luggage strap water resistant 20L 30L OEM ODM custom logo 尼龙背包 行李箱拉杆带 embroidery screen print laptop compartment trolley sleeve luggage strap recycled nylon,8000,6.43,USD,FOB|CIF,27,REACH|BSCI,custom logo|luggage strap,6,US|EU,0.738,mvp_seed
SUP-BP-003,Harbor Textile 003,manufacturer,nylon backpack,nylon backpack travel daypack luggage strap water resistant 20L 30L OEM ODM custom logo 尼龙背包 行李箱拉杆带 embroidery screen print laptop compartment trolley sleeve luggage strap recycled nylon,600,9.92,USD,EXW|FOB|CIF,27,REACH|BSCI,custom logo|luggage strap,9,US|EU,0.756,mvp_seed
